data,temperatura,quantidade_vendida
2023-01-01,26.1,5
2023-01-01,38.3,28
2023-01-01,39.8,29
2023-01-01,32.1,10
2023-01-01,26.0,17
2023-01-01,21.9,6
2023-01-01,23.0,0
2023-01-01,33.0,18
2023-01-01,21.2,8
2023-01-01,21.3,7
2023-01-02,30.5,17
2023-01-02,23.0,13
2023-01-02,20.6,7
2023-01-02,34.6,24
2023-01-02,33.4,24
2023-01-02,28.4,7
2023-01-02,29.8,18
2023-01-02,36.5,14
2023-01-02,20.4,12
2023-01-02,38.3,25
2023-01-03,34.2,13
2023-01-03,37.7,23
2023-01-03,29.6,20
2023-01-03,35.9,23
2023-01-03,26.0,8
2023-01-03,29.6,23
2023-01-03,28.6,9
2023-01-03,26.4,16
2023-01-03,37.1,17
2023-01-03,34.1,18
2023-01-04,30.1,9
2023-01-04,23.7,3
2023-01-04,23.1,14
2023-01-04,34.7,17
2023-01-04,33.0,21
2023-01-04,37.4,13
2023-01-04,38.6,26
2023-01-04,36.6,25
2023-01-04,36.0,34
2023-01-04,38.5,14
2023-01-05,38.0,22
2023-01-05,20.6,7
2023-01-05,23.2,5
2023-01-05,37.9,25
2023-01-05,25.1,10
2023-01-05,35.5,16
2023-01-05,38.8,17
2023-01-05,39.4,18
2023-01-05,26.7,15
2023-01-05,31.2,8
2023-01-06,38.3,16
2023-01-06,25.0,3
2023-01-06,39.4,21
2023-01-06,35.8,21
2023-01-06,29.0,9
2023-01-06,35.5,20
2023-01-06,37.0,23
2023-01-06,28.3,10
2023-01-06,21.6,6
2023-01-06,30.6,14
2023-01-07,21.8,0
2023-01-07,23.5,12
2023-01-07,21.3,6
2023-01-07,31.3,16
2023-01-07,30.4,14
2023-01-07,26.7,13
2023-01-07,36.9,22
2023-01-07,23.6,8
2023-01-07,24.8,17
2023-01-07,39.8,28
2023-01-08,21.2,2
2023-01-08,25.1,12
2023-01-08,35.6,17
2023-01-08,23.9,3
2023-01-08,35.7,16
2023-01-08,39.7,23
2023-01-08,29.5,9
2023-01-08,29.8,20
2023-01-08,26.3,12
2023-01-08,29.6,17
2023-01-09,20.5,5
2023-01-09,23.4,11
2023-01-09,36.0,16
2023-01-09,38.3,26
2023-01-09,31.2,16
2023-01-09,32.1,24
2023-01-09,28.7,16
2023-01-09,23.0,1
2023-01-09,29.1,14
2023-01-09,22.8,8
2023-01-10,24.8,5
2023-01-10,25.5,18
2023-01-10,36.4,20
2023-01-10,22.9,9
2023-01-10,23.6,8
2023-01-10,24.1,16
2023-01-10,27.2,14
2023-01-10,38.7,30
2023-01-10,33.1,13
2023-01-10,20.7,11
2023-01-11,26.1,15
2023-01-11,23.6,19
2023-01-11,38.9,26
2023-01-11,28.8,8
2023-01-11,27.9,13
2023-01-11,22.8,8
2023-01-11,22.8,12
2023-01-11,38.7,19
2023-01-11,35.0,22
2023-01-11,21.2,2
2023-01-12,33.0,23
2023-01-12,36.9,25
2023-01-12,32.2,19
2023-01-12,39.6,19
2023-01-12,28.1,9
2023-01-12,21.2,10
2023-01-12,35.6,23
2023-01-12,35.8,20
2023-01-12,28.4,12
2023-01-12,36.4,22
2023-01-13,27.3,15
2023-01-13,39.4,8
2023-01-13,34.1,27
2023-01-13,24.1,11
2023-01-13,31.1,29
2023-01-13,36.4,24
2023-01-13,25.3,5
2023-01-13,23.9,13
2023-01-13,36.0,18
2023-01-13,29.8,19
2023-01-14,24.5,3
2023-01-14,27.3,24
2023-01-14,25.9,3
2023-01-14,31.0,20
2023-01-14,29.2,15
2023-01-14,20.6,0
2023-01-14,31.2,10
2023-01-14,21.8,10
2023-01-14,33.9,26
2023-01-14,24.9,9
2023-01-15,35.7,25
2023-01-15,24.3,12
2023-01-15,21.7,8
2023-01-15,22.4,3
2023-01-15,33.4,21
2023-01-15,21.5,0
2023-01-15,24.6,13
2023-01-15,24.6,11
2023-01-15,23.1,2
2023-01-15,35.1,18
2023-01-16,25.0,7
2023-01-16,34.2,9
2023-01-16,23.9,12
2023-01-16,30.4,18
2023-01-16,26.4,13
2023-01-16,21.2,10
2023-01-16,22.5,5
2023-01-16,31.6,22
2023-01-16,23.9,15
2023-01-16,30.0,16
2023-01-17,30.2,16
2023-01-17,39.9,28
2023-01-17,21.0,12
2023-01-17,35.4,21
2023-01-17,32.7,19
2023-01-17,20.2,9
2023-01-17,20.7,15
2023-01-17,23.6,7
2023-01-17,33.5,23
2023-01-17,26.5,8
2023-01-18,20.0,8
2023-01-18,28.4,1
2023-01-18,26.6,13
2023-01-18,22.7,13
2023-01-18,24.2,11
2023-01-18,35.3,26
2023-01-18,26.2,17
2023-01-18,20.9,14
2023-01-18,23.4,15
2023-01-18,27.0,14
2023-01-19,25.5,13
2023-01-19,39.0,18
2023-01-19,38.5,25
2023-01-19,30.7,19
2023-01-19,21.2,0
2023-01-19,27.3,17
2023-01-19,38.8,24
2023-01-19,36.9,24
2023-01-19,31.2,18
2023-01-19,21.8,5
2023-01-20,20.2,7
2023-01-20,22.6,10
2023-01-20,27.6,10
2023-01-20,31.6,18
2023-01-20,29.6,13
2023-01-20,38.1,19
2023-01-20,29.9,19
2023-01-20,28.7,21
2023-01-20,39.8,31
2023-01-20,31.9,19
2023-01-21,33.7,13
2023-01-21,32.6,20
2023-01-21,32.2,13
2023-01-21,20.6,6
2023-01-21,36.1,18
2023-01-21,38.3,20
2023-01-21,31.4,16
2023-01-21,36.9,15
2023-01-21,20.6,14
2023-01-21,20.6,5
2023-01-22,30.1,21
2023-01-22,29.2,3
2023-01-22,24.4,3
2023-01-22,34.7,24
2023-01-22,35.9,23
2023-01-22,38.9,25
2023-01-22,30.7,20
2023-01-22,26.0,13
2023-01-22,34.1,17
2023-01-22,39.6,26
2023-01-23,33.3,21
2023-01-23,37.1,23
2023-01-23,36.0,21
2023-01-23,34.4,17
2023-01-23,35.1,25
2023-01-23,32.9,22
2023-01-23,30.8,15
2023-01-23,35.9,20
2023-01-23,22.1,16
2023-01-23,32.2,14
2023-01-24,30.4,18
2023-01-24,28.1,14
2023-01-24,27.3,12
2023-01-24,38.3,26
2023-01-24,27.6,11
2023-01-24,37.5,16
2023-01-24,32.5,14
2023-01-24,28.5,13
2023-01-24,22.4,12
2023-01-24,38.0,29
2023-01-25,26.9,12
2023-01-25,36.7,21
2023-01-25,22.3,9
2023-01-25,32.7,12
2023-01-25,28.7,22
2023-01-25,22.2,0
2023-01-25,24.2,10
2023-01-25,33.8,4
2023-01-25,37.5,24
2023-01-25,24.3,10
2023-01-26,34.4,10
2023-01-26,30.4,10
2023-01-26,39.4,29
2023-01-26,36.0,22
2023-01-26,31.5,18
2023-01-26,24.7,10
2023-01-26,39.8,19
2023-01-26,31.4,16
2023-01-26,23.1,10
2023-01-26,33.3,14
2023-01-27,34.7,22
2023-01-27,20.1,0
